Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get User (Request),566,1668,413,5266,1245.18,0.000%,1.34990,44.15,0.38,33488.2
Get Viewings (Request),1295,3543,326,25274,3092.66,0.000%,3.06011,1.91,0.97,638.0
Get Offers (Request),1266,3949,391,30567,3411.96,0.000%,3.00174,1.60,0.86,546.0
Get Notifications (Request),1245,2001,164,18297,1898.53,0.000%,2.96128,1.67,0.87,576.0
Get Filters (Request),1235,908,76,8143,793.01,0.000%,2.94532,2.36,0.85,819.9
Match Blobs for All Props Ids (Request),1231,9921,349,60185,11171.31,3.087%,2.91937,42.81,0.92,15017.1
Match Blobs for 1000 Props with Locations (Request),1209,12862,764,60213,11135.87,1.489%,2.87836,51.89,0.98,18458.8
Graphql Fetch 20 Properties Page (Request),2304,11252,573,60343,8895.26,1.215%,5.50478,156.04,16.62,29027.0
Check Property (Request),11001,5345,366,60346,6291.53,0.945%,26.38414,312.42,100.66,12125.3
TOTAL,21352,5930,76,60346,7415.99,0.880%,50.35018,606.27,121.14,12330.1
